题目,简介,作者,出版社,日期,关键字
机器学习输入阶段的著作权侵权风险及应对策略  CNKI文献,近年来随着技术的不断进步，机器学习作为生成式人工智能的核心技术，在各个领域的应用持续扩展深化。机器学习输入阶段采集的训练数据主要包括以下2种：一是不受著作权法保护的数据；二是受著作权法保护的作品。就前者而言，学界对数据的保护还存在争议，本文不进行讨论。就受著作权法保护的作品而言，如果未经权利人授权，人工智能研发公司擅自复制作品，可能会落入以复制权为核心的专有权利的控制范围内...,来佳洋,《中阿科技论坛(中英文)》,2024年10期,"关键词：机器学习 / 生成式人工智能 / 著作权 / 复制权
下载（102）|被引（0）"
基于人工智能与机器学习的集中供热系统设备维护的应用研究  CNKI文献,0引言 在当今社会，集中供热系统作为重要的能源设施，对于确保供暖和能源效率至关重要。然而，这些系统在长期运行中存在着诸多设备故障和效率下降的问题。随着人工智能（AI）和机器学习（ML）等新兴技术的日益发展，这些技术在集中供热系统设备运维中的数据分析、预测性维护和优化方法等方面的应用潜力日益突显。为提高设备运行的效率，减少维护成本，延长设备寿命提供更大空间与更多可能。因此，对于集中供热...,董瑞,《绿色建造与智能建筑》,2024年10期,"关键词：人工智能 / 机器学习 / 集中供热系统 / 设备维护
下载（0）|被引（0）"
机器学习在白酒产地溯源研究中的应用进展  CNKI文献,"0引言 白酒产地(产区)对于白酒产品经济价值具有重要影响。国内消费市场上一直存在“川酒云烟”的说法,四川等白酒优质产区奠定了特定产区白酒产品的高品质基础,赋予了产区内白酒产品更高的经济价值,从而获得更高的市场溢价。白酒优质产区具有得天独厚的自然条件,是出产高品质白酒的关键影响因素之一,是白酒产业高质量发展的重要基础,白酒产区保护受到了高度重视。受高额经济利益驱使以及信息不对称等因素的影响,当前国...",程铁辕 肖宇 薛康 赵宇舒 刘俊 郭云霞 胡江涛,《食品安全质量检测学报》,2024年18期,"关键词：机器学习 / 白酒 / 产地溯源 / 算法
下载（24）|被引（0）"
可解释机器学习在油气领域人工智能中的研究进展与应用展望  CNKI文献,0 引言 当前我国油气对外依存度较高，为保障国家能源安全，从战略层面上需要加强油气资源的勘探开发。但是，随着常规油气的日益枯竭，剩余的可采油气资源大部分属于较难开采的非常规油气[1-2]。在这一背景下，人工智能与油气工业的深度融合，已成为推动油田企业实现规模增产的重要手段[3]。与数值模拟和实验研究等方法相比，通过拟合无法使用机理模型描述的油气田开发数据方式，基于机器学习（Machi...,闵超 文国权 李小刚 赵大志 李昆成,《天然气工业》,2024年09期,"关键词：油气田勘探开发 / 人工智能 / 机器学习 / 可解释机器学习
下载（461）|被引（0）"
基于机器学习技术的汉字字体设计方法综述研究  CNKI文献,字体是指字符呈现的视觉特征，是字符结构和笔画在样式风格上的视觉效果。不同视觉效果的字体需要通过字体的设计工作来完成，然而，由于汉字字符的结构与笔画复杂、字符的数量庞大以及繁琐的设计方法导致传统的汉字字体设计成为一项艰巨的工作。随着数智时代的不断发展，人工智能在艺术创意领域展现出巨大的创作潜力，探索机器学习技术在汉字字体设计方面的应用，以期达到替代传统工作的目的，已成为目前设计学科与计算...,周雅琴 武志鹏,《艺术与设计(理论)》,2024年09期,"关键词：字体设计 / 人工智能 / 机器学习 / 字体生成
下载（67）|被引（0）"
人工智能背景下机器学习课程教学改革路径探索  CNKI文献,开放科学（资源服务）标识码(OSID) 0 引言 为了推动人工智能行业的进步，党的二十大报告明确指出，把人工智能作为推进战略性新兴产业融合集群发展的驱动力，促进智能技术的创新，并且积极推动区域经济社会数字化、智能化的转型刻不容缓。可以看出，国家层面一直在关心人工智能领域的发展，并且出台了相应政策来推动其进步，期望人工智能为各行各业乃至各个领域的发展提供助力[1]。机器学习课程作为人...,陈蕾 张礼,《电脑知识与技术》,2024年26期,"关键词：人工智能 / 机器学习 / 教学改革 / 教学实践
下载（37）|被引（0）"
公共管理研究中的机器学习方法——原理、应用及挑战  CNKI文献,一、引言 当下的社会正处于一个数字爆炸、信息爆炸的时代，党的二十大报告更是提出了加快建设“网络中国、数字中国”的迫切要求。在第四次科技革命中，芯片产业的迅速发展与互联网技术对人们日常生活的渗透使得机器学习蓬勃生长：一方面，高算力低成本的GPU(图形处理器)使人工智能的生产与应用脱离企业，走向民间，机器学习不再是一种高门槛的技术；另一方面，数字经济发展孕育的海量数据也为~#...,刘闻博 王丛虎,《公共管理与政策评论》,2024年05期,"关键词：公共管理研究 / 研究方法 / 机器学习 / 公共价值
下载（1288）|被引（0）"
新质生产力时代要求背景下的大学机器学习课程探索与研究  CNKI文献,当今社会正处于技术驱动的快速发展时期，人工智能和机器学习等前沿技术成为推动社会进步和经济增长的关键驱动力[1-2]，培养具备机器学习知识和技能的大学生，成了社会进步和产业发展的共同需求[3-5]。与此同时，习近平总书记提出了发展新质生产力的时代要求，大力发展新质生产力是我国在新发展阶段构筑国家竞争新优势的战略选择[6-7]，这对当代大学生提出了更高的要求。因此，如何培养大学...,焦文华 李丽娟 张印强 梅雪 王莉 刘芃,《创新创业理论研究与实践》,2024年17期,"关键词：新质生产力 / 创新人才 / 产教融合 / 机器学习
下载（41）|被引（0）"
机器学习强化的电化学阻抗谱技术及其在锂离子电池研究中的应用  CNKI文献,"锂离子电池因其高能量密度和长循环寿命，在全球能源结构转型和现代储能技术应用中扮演了核心角色。随着电气化的不断发展，动力电池和储能电池的需求激增[1],2022年电动车销量超过1000万辆，电动汽车销量持续增长，到2024年可能达到约1700万辆，占全球销量汽车的五分之一以上[2]。在实际使用过程中人们不仅对锂离子电池的性能提出更高要求，更对电池使用的安全性和可靠性形成广泛关注[3-4]。在可靠性研...",何智峰 陶远哲 胡泳钢 王其聪 杨勇,《储能科学与技术》,2024年09期,"关键词：锂离子电池 / 电化学阻抗谱 / 机器学习 / 寿命预测
下载（505）|被引（0）"
基于机器学习的时空出行选择行为研究综述与展望  CNKI文献,时空出行选择行为模型是交通需求分析与预测的基石，为交通系统政策制定、运营管理和系统优化提供了可靠的决策支撑。20世纪60年代，McFadden[1]将可操作性极强的Logit模型和个人随机效用理论结合，时空出行选择行为的建模方法得到迅速发展。20世纪70年代，经典离散选择模型在旧金山湾沿岸高速铁道需求预测中的成功应用，使得非集计分析模型和方法在快速城市化进程中大显身手[2]。在随后的几十年中，学者...,王江波 连芝锐 冯涛 唐立 刘锴,《地理科学进展》,2024年08期,"关键词：时空出行选择行为 / 非集计模型 / 机器学习 / 可解释性
下载（553）|被引（0）"
